DESIGN NUMBER,Colour Code,Coverage 01,Coverage 02,Coverage 03,Coverage 04,Coverage 05,Coverage 06,Coverage 07,Coverage 08,Coverage 09,Coverage 10,Coverage 11,Coverage 12,Coverage 13,Coverage 14,Total coverage
D004940F03,P8C0000001,6.28,1.75,6.71,0,0,0,0,0,0,0,0,0,0,0,14.74
D004940F03,P8A0000001,6.28,1.75,6.71,0,0,0,0,0,0,0,0,0,0,0,14.74
D004940F03,P8C0000001,6.28,1.75,6.71,0,0,0,0,0,0,0,0,0,0,0,14.74
D004941H01,R8A0000002,50.03,0,0,0,0,0,0,0,0,0,0,0,0,0,50.03
D004942F07,R900000001,69.14,0.2,1.09,2.24,4.24,5.99,6.49,0,0,0,0,0,0,0,89.39
D004943G04,P8A0000004,7.03,6.9,5.54,5.9,0,0,0,0,0,0,0,0,0,0,25.37
D004943G04,P8A0000002,7.03,6.9,5.54,5.9,0,0,0,0,0,0,0,0,0,0,25.37
D004943G04,P8A0000001,7.03,6.9,5.54,5.9,0,0,0,0,0,0,0,0,0,0,25.37
D004944F01,P8A0000001,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83
D004945G04,R8A0000002,28.18,64.67,7.86,7.39,0,0,0,0,0,0,0,0,0,0,108.1
D004945G04,R8A0000002,28.18,64.67,7.86,7.39,0,0,0,0,0,0,0,0,0,0,108.1
D004946G04,P8A0000004,34.45,3.31,3.4,3.57,0,0,0,0,0,0,0,0,0,0,44.73
D004946G04,P8A0000004,34.45,3.31,3.4,3.57,0,0,0,0,0,0,0,0,0,0,44.73
D004947F04,R300000001,21.08,38.96,13.51,45.08,0,0,0,0,0,0,0,0,0,0,118.63
D004948F04,P8A0000003,9.22,3.4,5.47,26.49,0,0,0,0,0,0,0,0,0,0,44.58
D004948F04,P8A0000001,9.22,3.4,5.47,26.49,0,0,0,0,0,0,0,0,0,0,44.58
D004949G04,D8C0000003,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004949G04,P8A0000002,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004949G04,P8A0000002,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004949G04,P8A0000002,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004949G04,P8A0000001,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004949G04,P8A0000001,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004949G04,P8A0000001,1.55,1.13,0.35,0.93,0,0,0,0,0,0,0,0,0,0,3.96
D004950F01,R900000001,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79
D004950F01,P800000002,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79
D004950F01,P800000001,32.79,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79
D004951E01,P300000001,33.04,0,0,0,0,0,0,0,0,0,0,0,0,0,33.04
D004951E01,P5A0000001,33.04,0,0,0,0,0,0,0,0,0,0,0,0,0,33.04
D004952G02,D600000001,0.02,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.11
D004952G02,D5A0000002,0.02,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.11
D004953K01,D600000001,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
D004954F01,P8A0000001,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61
D004954F01,P700000001,30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61
D004955F01,P8A00000002,47.28,0,0,0,0,0,0,0,0,0,0,0,0,0,47.28
D004955F01,P600000001,47.28,0,0,0,0,0,0,0,0,0,0,0,0,0,47.28
D004955F01,P8A0000003,47.28,0,0,0,0,0,0,0,0,0,0,0,0,0,47.28
D004955F01,P900000002,47.28,0,0,0,0,0,0,0,0,0,0,0,0,0,47.28
D004957F04,R8C0000002,19.94,21.68,56.97,17.57,0,0,0,0,0,0,0,0,0,0,116.16
D004958F04,R8C0000003,22.74,35.61,13.54,43.92,0,0,0,0,0,0,0,0,0,0,115.81
D004959G05,R8A0000002,56.92,10.11,10.09,11.17,11.72,0,0,0,0,0,0,0,0,0,100.01
D004960G04,R8C0000003,7.03,5.54,6.9,71.69,0,0,0,0,0,0,0,0,0,0,91.16
D004960G04,R400000001,7.03,5.54,6.9,71.69,0,0,0,0,0,0,0,0,0,0,91.16
D004961C03,P300000002,20.77,15.81,29.54,0,0,0,0,0,0,0,0,0,0,0,66.12
D004961C03,P300000002,20.77,15.81,29.54,0,0,0,0,0,0,0,0,0,0,0,66.12
D004961C03,P300000001,20.77,15.81,29.54,0,0,0,0,0,0,0,0,0,0,0,66.12
D004961C03,P900000001,20.77,15.81,29.54,0,0,0,0,0,0,0,0,0,0,0,66.12
D004962S01,P900000001,49.81,0,0,0,0,0,0,0,0,0,0,0,0,0,49.81
D004964G01,R600000001,72.36,0,0,0,0,0,0,0,0,0,0,0,0,0,72.36
D004966G01,P900000001,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33
D004967G01,P600000001,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8
D004967G01,P600000001,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8
D004968G01,P8A0000001,17.07,0,0,0,0,0,0,0,0,0,0,0,0,0,17.07
D004969G01,P8A0000001,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75
D004969G01,P8A0000001,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75
D004970E01,P600000002,40.28,0,0,0,0,0,0,0,0,0,0,0,0,0,40.28
D004971F02,R5A0000003,1.23,81.18,0,0,0,0,0,0,0,0,0,0,0,0,82.41
D004971F02,R8A0000002,1.23,81.18,0,0,0,0,0,0,0,0,0,0,0,0,82.41
D004971F02,R8A0000002,1.23,81.18,0,0,0,0,0,0,0,0,0,0,0,0,82.41
D004972S01,P8A0000001,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1
D004973F02,DW00000002,5.32,6.54,0,0,0,0,0,0,0,0,0,0,0,0,11.86
D004973F02,D8A0000001,5.32,6.54,0,0,0,0,0,0,0,0,0,0,0,0,11.86
D004974F03,D8C0000002,14.34,5.42,2.06,0,0,0,0,0,0,0,0,0,0,0,21.82
D004975F05,R5A0000001,10.94,13.11,7.75,13.7,6.53,0,0,0,0,0,0,0,0,0,52.03
D004976F06,R5A0000003,10.94,67.76,13.11,7.73,13.7,6.53,0,0,0,0,0,0,0,0,119.77
D004977F06,R8A0000004,10.95,67.68,13.71,6.53,7.78,13.14,0,0,0,0,0,0,0,0,119.79
D004977F06,R900000002,10.95,67.68,13.71,6.53,7.78,13.14,0,0,0,0,0,0,0,0,119.79
D004978F04,P8A0000001,5.3,0.34,3.74,3.91,0,0,0,0,0,0,0,0,0,0,13.29
D004978F04,P8A0000001,5.3,0.34,3.74,3.91,0,0,0,0,0,0,0,0,0,0,13.29
D004980F02,R8A0000001,79.02,3.98,0,0,0,0,0,0,0,0,0,0,0,0,83
D004981G04,R8C0000003,28.14,3.67,68.29,7.7,0,0,0,0,0,0,0,0,0,0,107.8
D004981G04,R40000001,28.14,3.67,68.29,7.7,0,0,0,0,0,0,0,0,0,0,107.8
D004982W01,PW00000007,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004982W01,P300000006,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004982W01,P700000005,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004982W01,P900000004,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004982W01,P700000001,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004982W01,P8C0000002,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004982W01,P300000001,59.1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1
D004984G01,P8A0000002,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
D004984G01,DW00000001,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
D004985C04,P700000001,18.48,12.76,12.84,21.26,0,0,0,0,0,0,0,0,0,0,65.34
D004985C04,P600000001,18.48,12.76,12.84,21.26,0,0,0,0,0,0,0,0,0,0,65.34
D004988C03,P300000001,24.47,26.23,28,0,0,0,0,0,0,0,0,0,0,0,78.7
D004989C03,P8A0000001,28.94,31.38,21.62,0,0,0,0,0,0,0,0,0,0,0,81.94
D004989C03,P8A0000001,28.94,31.38,21.62,0,0,0,0,0,0,0,0,0,0,0,81.94
D004989C03,P8A0000001,28.94,31.38,21.62,0,0,0,0,0,0,0,0,0,0,0,81.94
D004990G06,P8A0000001,20.85,2.57,60.94,6.66,5.24,10.57,0,0,0,0,0,0,0,0,106.83
D004991F03,P8A0000001,48.08,37.45,25.54,0,0,0,0,0,0,0,0,0,0,0,111.07
D004992T04,P900000001,1.98,0.39,0.23,0.46,0,0,0,0,0,0,0,0,0,0,3.06
D004995G01,P900000001,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89
D004996Z03,R400000001,16.47,80.23,6.47,0,0,0,0,0,0,0,0,0,0,0,103.17
D004997F02,P900000001,5.23,2.33,0,0,0,0,0,0,0,0,0,0,0,0,7.56
D004998F03,P8A0000001,66.93,1.6,1.83,0,0,0,0,0,0,0,0,0,0,0,70.36
D004998F03,P8A0000001,66.93,1.6,1.83,0,0,0,0,0,0,0,0,0,0,0,70.36
D005000H05,R600000002,2.56,2.47,2.51,2.67,98.83,0,0,0,0,0,0,0,0,0,109.04
D005000H05,R600000002,2.56,2.47,2.51,2.67,98.83,0,0,0,0,0,0,0,0,0,109.04
D005000H05,P100000001,2.56,2.47,2.51,2.67,98.83,0,0,0,0,0,0,0,0,0,109.04
D005000H05,R600000002,2.56,2.47,2.51,2.67,98.87,0,0,0,0,0,0,0,0,0,109.08
D005000H05,P100000001,2.56,2.47,2.51,2.67,98.83,0,0,0,0,0,0,0,0,0,109.04
D005000H05,R600000001,2.56,2.47,2.51,2.67,98.83,0,0,0,0,0,0,0,0,0,109.04
D005006H04,R8C0000003,2.51,2.74,2.56,86.39,0,0,0,0,0,0,0,0,0,0,94.2
D005006H04,R8C0000003,2.51,2.74,2.56,86.39,0,0,0,0,0,0,0,0,0,0,94.2
D005006H04,R5B0000002,2.51,2.47,2.56,86.39,0,0,0,0,0,0,0,0,0,0,93.93
D005006H04,R8C0000001,2.51,2.47,2.56,86.39,0,0,0,0,0,0,0,0,0,0,93.93
D005006H04,R5B0000001,2.51,2.74,2.56,86.39,0,0,0,0,0,0,0,0,0,0,94.2
D005007G05,R200000001,9.22,9.22,9.22,9.22,9.22,0,0,0,0,0,0,0,0,0,46.1
D005008G05,R200000001,9.45,9.45,9.45,9.45,9.45,0,0,0,0,0,0,0,0,0,47.25
D005009T01,R900000001,54.69,0,0,0,0,0,0,0,0,0,0,0,0,0,54.69
D005010G01,P900000001,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48
D005010G01,P900000001,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48
D005011G01,R900000001,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1
