K1,Construction,Warp,Weft,EPI-PPI
11492,14OE*14MC-74*52-160.8-PLAIN,14OE,14MC-74*52-160.8-PLAIN,74*52
11493,"14OE.PC*14PC-81*56-162.6-2/1,S TWILL",14OE.PC,"14PC-81*56-162.6-2/1,S TWILL",81*56
11494,"14OE.PC*10OE.PC-98*54-160.8-2/2,S TWILL",14OE.PC,"10OE.PC-98*54-160.8-2/2,S TWILL",98*54
11496,"14PC*10OE.PC-98*54-160-2/2,S TWILL",14PC,"10OE.PC-98*54-160-2/2,S TWILL",98*54
11497,"14PC*10OE-104*52-176-3/1,S TWILL",14PC,"10OE-104*52-176-3/1,S TWILL",104*52
11497,"14PC*10OE-104*52-160-3/1,S TWILL",14PC,"10OE-104*52-160-3/1,S TWILL",104*52
11497,"14PC*10OE-104*52-160-3/1,S TWILL",14PC,"10OE-104*52-160-3/1,S TWILL",104*52
11497,"14K.PC*10OE-102*52-163.8-3/1,S TWILL",14K.PC,"10OE-102*52-163.8-3/1,S TWILL",102*52
11498,"14PC*14PC-82*46-160-2/1,S TWILL",14PC,"14PC-82*46-160-2/1,S TWILL",82*46
11499,"14CVC*10OE.CVC-104*52-160-3/1,S TWILL",14CVC,"10OE.CVC-104*52-160-3/1,S TWILL",104*52
11501,15MVS*12PC-78*50-170.2- 2/1 TWILL,15MVS,12PC-78*50-170.2- 2/1 TWILL,78*50
11502,15MVS*12OE-78*50-170.2- 2/1 TWILL,15MVS,12OE-78*50-170.2- 2/1 TWILL,78*50
11503,15MVS*12PC(S)-68*52-182.4- 2/1 TWILL,15MVS,12PC(S)-68*52-182.4- 2/1 TWILL,68*52
11503,15.5PC*12PC(S)-68*52-182.4- 2/1 TWILL,15.5PC,12PC(S)-68*52-182.4- 2/1 TWILL,68*52
11504,15VORTEX*15VORTEX-79*56-166.1-2/1 TWILL,15VORTEX,15VORTEX-79*56-166.1-2/1 TWILL,79*56
11505,"15PC*15PC-87*54-162.6-2/1,S TWILL",15PC,"15PC-87*54-162.6-2/1,S TWILL",87*54
11615,"16K*12OE-108*56-160-3/1,S TWILL",16K,"12OE-108*56-160-3/1,S TWILL",108*56
11615,"16K*12OE-106*56-158-3/1,S TWILL",16K,"12OE-106*56-158-3/1,S TWILL",106*56
11615,"16K*12OE-106*56-158-3/1,S TWILL",16K,"12OE-106*56-158-3/1,S TWILL",106*56
11617,16K*20LYC-104*60-164.1-3/1 TWILL,16K,20LYC-104*60-164.1-3/1 TWILL,104*60
11619,"16OE*12OE-106*56-162-3/1,S TWILL",16OE,"12OE-106*56-162-3/1,S TWILL",106*56
11619,"16OE*12OE-106*56-162.1-3/1,S TWILL",16OE,"12OE-106*56-162.1-3/1,S TWILL",106*56
11619,"16OE*12OE-106*56-162.1-3/1,S TWILL",16OE,"12OE-106*56-162.1-3/1,S TWILL",106*56
11637,16OE*12OE-114*56-155-3/1 S TWILL,16OE,12OE-114*56-155-3/1 S TWILL,114*56
11637,16OE*12OE-114*56-154.9-3/1 TWILL,16OE,12OE-114*56-154.9-3/1 TWILL,114*56
11637,16OE*12OE-114*56-154.9-3/1 TWILL,16OE,12OE-114*56-154.9-3/1 TWILL,114*56
11637,"16OE*12OE-114*56-155-3/1,S TWILL",16OE,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16OE*12OE-114*56-155-3/1,S TWILL",16OE,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16OE*12OE-114*56-155-3/1,S TWILL",16OE,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16OE*12OE-114*56-155-3/1,S TWILL",16OE,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16OE*12OE-114*56-155-3/1,S TWILL",16OE,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16OE*12OE-114*56-155-3/1,S TWILL",16OE,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16OE*12K-114*56-155-3/1,S TWILL",16OE,"12K-114*56-155-3/1,S TWILL",114*56
11637,"16K*12OE-114*56-155-3/1,S TWILL",16K,"12OE-114*56-155-3/1,S TWILL",114*56
11637,"16K*12OE-114*56-155-3/1,S TWILL",16K,"12OE-114*56-155-3/1,S TWILL",114*56
11644,16PC*12PC-80*45-162.6-,16PC,12PC-80*45-162.6-,80*45
11646,"16OE*16SPX-97*44-172-2/1,S TWILL",16OE,"16SPX-97*44-172-2/1,S TWILL",97*44
11646,"16K*16LYC-97*44-157.2-2/1,S TWILL",16K,"16LYC-97*44-157.2-2/1,S TWILL",97*44
11649,16K*12OE-106*56-158-3/1 S TWILL,16K,12OE-106*56-158-3/1 S TWILL,106*56
11649,16K*12OE-106*56-158-3/1 S TWILL,16K,12OE-106*56-158-3/1 S TWILL,106*56
11649,16K*12K-106*56-158-3/1 S TWILL,16K,12K-106*56-158-3/1 S TWILL,106*56
11649,16K*12K-106*56-158-3/1 S TWILL,16K,12K-106*56-158-3/1 S TWILL,106*56
11649,16C*12C-106*56-158-3/1 S TWILL,16C,12C-106*56-158-3/1 S TWILL,106*56
11649,16OG*12OG-106*56-158-3/1 TWILL,16OG,12OG-106*56-158-3/1 TWILL,106*56
11649,"16OE.ORG*12OE.ORG-106*56-158-3/1,S TWILL",16OE.ORG,"12OE.ORG-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11649,"16OE*12OE-106*56-158-3/1,S TWILL",16OE,"12OE-106*56-158-3/1,S TWILL",106*56
11671,16OE*12OE-106*56-159-2/2 MATT,16OE,12OE-106*56-159-2/2 MATT,106*56
11671,16OE*12OE-106*56-159-2/2 MATT,16OE,12OE-106*56-159-2/2 MATT,106*56
11671,16K*12OE-106*56-159-2/2 MATT,16K,12OE-106*56-159-2/2 MATT,106*56
11671,16OE.OG*12OE-106*56-159-MATT,16OE.OG,12OE-106*56-159-MATT,106*56
11671,16OE*12OE-106*56-159-MATT,16OE,12OE-106*56-159-MATT,106*56
11671,16K*12OE-106*56-159-MATT,16K,12OE-106*56-159-MATT,106*56
11810,18OE+14MC*10OE+10MC-120*54-159.8-3/1,18OE+14MC,10OE+10MC-120*54-159.8-3/1,120*54
11812,8OE+20C*8OE+2/40C-64*54-159.5-2/2 TWILL,8OE+20C,8OE+2/40C-64*54-159.5-2/2 TWILL,64*54
11815,18*14-124*60-152.4-3/1 TWILL,18,14-124*60-152.4-3/1 TWILL,18*14
12009,20K*20K-100*58-160-,20K,20K-100*58-160-,100*58
12031,20VX*20VX-106*56-154.5-PLAIN,20VX,20VX-106*56-154.5-PLAIN,106*56
12031,20VX*20VX-106*56-154.5-PLAIN,20VX,20VX-106*56-154.5-PLAIN,106*56
12031,20OG*20OG-106*56-154.5-PLAIN,20OG,20OG-106*56-154.5-PLAIN,106*56
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-161.9-PLAIN,106*56
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-161.9-PLAIN,106*56
12031,20OE.RECY.COT*20OE.RECY.COT-106*56-161.9-PLAIN,20OE.RECY.COT,20OE.RECY.COT-106*56-161.9-PLAIN,106*56
