k1,k2,k3,k4,construction
11600111,BAOCJ,W21001,HH04,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11615,BA,S41021,VV01,16K*12OE-113*56-149-3/1 TWILL-294
11615,BA,S41021,VV02,16K*12OE-113*56-149-3/1 TWILL-294
116409,BA,S21J24,DD01,16OE+2/40SPUN*10OE-90*42-151-PLAIN-239
116494,BA,S31F57,DD01,16OE+2/80SPUN*16OE-111*60-149-2/2 HBT-258
116511,BA,W11001,RR01,16MEL*14SPX-91*60-136-2/1 TWILL-227
116586,BA,S22001,RR02,16OE*16OE-101*70-148-2/2 TWILL-258
116589,BA,S21001,RR01,16MEL+2/30C*16SPX-85*56-132-2/2 TWILL-187
116594,BA,W11001,RR01,16OE*16OE-69*50-150-PLAIN-177
116596,BA,W11001,RR01,16OE*16OE-60*48-148-2/1 TWILL-155
116596,BA,W11001,RR02,16OE*16OE-60*48-148-2/1 TWILL-155
116597,BA,W11001,RR01,16OE*16OE-88*80-144-2/2 HBT-250
116600,BA,S21001,RR01,16OE+2/30C*20COM-84*80-144-2/2 MATT-219
116603,BA,W21001,RR01,16OE+16MC*16MC-80*68-149-2/1 TWILL-219
116603,BA,W21001,RR02,16OE+16MC*16MC-80*68-149-2/1 TWILL-219
116603,BAOC,W21001,HH01,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,BAOC,W21001,HH02,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,BAOC,W21001,HH03,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,BAOCN,W21001,RR03,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116603,BAOCN,W21001,RR04,"16OE+16MC*16MC-82*64-148-2/1,Z TWIL-230 $"
116613,BA,S21001,TT01,16K+16PC*20SPX-99*72-149-2/1 HBT-244 $
12-13501,BAOC,C22001,HH01,"16OE*16SPX-96*70-145-2/2,S TWILL-270 $"
12-13509,BAMC,W11001,RR01,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13509,BAMC,W11001,RR02,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13509,BAMCJ,W11001,RR01,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13509,BAMCJ,W11001,RR02,"2/40MEL*20SPX-112*66-137-3/1,Z TWILL 243 $"
12-13613,BAMMJ,W11001,HH01,NEW BRANDING-12-13617
12-13613,BAMMJ,W11001,HH02,NEW BRANDING-12-13617
12-13617,BAMM2J,W11001,HH01,40COM*40COM- *80-PLAIN
12-13617,BAMM2J,W11001,HH02,40COM*40COM- *80-PLAIN
12-13617,BAMMJ,W11001,HH01,40COM*40COM- *80-PLAIN
12-13617,BAMMJ,W11001,HH02,40COM*40COM- *80-PLAIN
12-13785,BAMM,W11001,HH01,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,BAMM,W11001,HH02,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,BAMM,W11001,RR01,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,BAMMAJ,W11001,HH06,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,BAMMAJ,W11001,HH08,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,BAMMJ,W11001,HH01,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13785,BAMMJ,W11001,HH10,2/60COM*2/60COM- *86- -2/2 Z TWILL
12-13785,BAMMJ,W11001,RR01,2/60COM*2/60COM-166*86-150-2/2 Z TWILL 211 $
12-13786,BAMM,C22001,HH01,2/60COM*2/60COM-162*86-151-2/2Z TWILL-217 $
12-13823,LXMM,W11001,HH01,2/80COM*2/80COM-194*90-150-2/2 Z TWILL 170 $
12-13823,LXMM,W11001,HH02,2/80COM*2/80COM-194*90-150-2/2 Z TWILL 170 $
12-14005,BAMC,W11001,RR01,2/40MEL*20SPX-104*76-130-2/2 MATT 236 $
12-14005,BAMC,W11001,RR04,2/40MEL*20SPX-104*76-130-2/2 MATT 236 $
12-14395,BAMMO,W11001,HH01,60COM OG *60MEL OG - *86-PLAIN
12-14395,BAMMO,W11001,RR01,-133*88-144.00-
12-14395,BAMMO,W11001,RR02,60COM.OG*60COM.OG.MEL-PLAIN
12-14543,BAMMO,W22001,HH01,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-14543,BAMMO,W22001,HH02,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-106*76-140-PLAI-84 $
12-14545,BAMMO,W22001,RR01,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-PLAIN
12-14545,BAMMO,W22001,RR02,50COM.OG+50MC.OG*50MEL.OG+50MC.MEL.OG-105*76*140-PLAIN-87 $
12-14790,BAMMO,W11001,HH01,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,BAMMO,W11001,HH02,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
12-14790,BAMMO,W11001,HH03,32COM.OG*32COM.OG-100*64-147-PLAIN-128 $
