k1,k2,k3,k4,construction
150208,LLMMS,S21062,HH01,50COM*50COM-140*76-150-PLAIN-111
150227,BAMMS,F21001,HH01,50COM*50COM-141*78-150-PLAIN-108 $
150227,BAMMS,F21001,HH02,50COM*50COM-141*78-150-PLAIN-108 $
150246,BA,F21001,RR47,50COM*50COM-142*80-150-PLAIN-108 $
150246,BA,F21001,RR51,50COM*50COM-142*80-150-PLAIN-108 $
150246,BAMMS,F21001,HH47,50COM*50COM-142*80-150-PLAIN-108 $
150246,BAMMS,F21001,HH50,50COM*50COM-142*80-150-PLAIN-108 $
150246,BAMMS,F21001,HH51,50COM*50COM-142*80-150-PLAIN-108 $
150246,BAMMS,F21001,HH52,50COM*50COM-142*80-150-PLAIN-108 $
150635,BAMMAS,C44134,HH01,50COM*50COM-155*84-150-PLAIN-120 $
150635,BAMMAS,C44134,HH02,50COM*50COM-155*84-150-PLAIN-120 $
150635,BAMMAS,C44134,HH03,50COM*50COM-155*84-150-PLAIN-120 $
150635,BLMMA,F21001,HH18,50COM*50COM- *84-PLAIN
150719,BAMMS,F21001,HH02,50COM*50COM-144*84-150-PLAIN-113 $
150719,LLMMS,F21001,HH01,50COM*50COM-144*84-150-PLAIN-113 $
150C59,BAMM,W11001,HH08,50COM*50COM-156*80-150-OXFORD-118
150C59,BAMM,W11001,HH09,50COM*50COM- *80-OXFORD
150C59,BAMM,W11001,HH14,50COM*50COM- *80-OXFORD
150C59,BAMM,W11001,HH16,50COM*50COM- *80-OXFORD
150C59,BAMM,W11001,HH17,50COM*50COM- *80-OXFORD
150C59,BAMM,W11001,HH18,50COM*50COM- *80-OXFORD
150G77,BAMM,W11001,HH08,50COM*50COM-166*84-149-OXFORD-124 $
150G77,BAMM,W11001,HH09,50COM*50COM-166*84-149-OXFORD-124 $
150G77,BAMM,W11001,HH10,50COM*50COM-166*84-149-OXFORD-124 $
150M82,BLMMS,C33008,HH01,50COM*50COM-142*86-149-PLAIN 112
16000033,BAMM,W11001,RR01,60MEL*60MEL- *86-PLAIN
16000095,BAMMSNJ,S32001,HH01,60COM*50COM+50SPX- *90-4/1 S SATIN
16000140,BAMM,W11001,HH01,60COM*60COM-144*84-150-PLAIN-94 $
16000140,BAMM,W11001,HH02,60COM*60COM-144*84-150-PLAIN-94 $
16000140,BAMM,W11001,HH03,60COM*60COM-144*84-150-PLAIN-94 $
16000225,BAMM,W11001,HH01,60COM*60COM-120*80-139-PLAIN-89
16000227,BAMM,W11001,RR01,60MEL*60MEL-120*86-150-PLAIN-90 $
16000227,BAMM,W11001,RR02,60MEL*60MEL-120*86-150-PLAIN-90 $
16000227,BAMM,W11001,RR03,60MEL*60MEL-120*86-150-PLAIN-90 $
16000234,BAMM,C55001,HH01,60COM*60COM-148*100-152-PLAIN-105 $
16000234,BAMM,F21001,HH01,60COM*60COM-148*100-152-PLAIN-105 $
16000234,BAMM,F21001,HH02,60COM*60COM-148*100-152-PLAIN-105 $
16000247,BAMM,W11001,RR03,60MEL*60MEL-155*100*149-2/2 Z TWILL 110 $
16000247,BAMM,W11001,RR04,60MEL*60MEL-155*100*149-2/2 Z TWILL 110 $
16000247,BAMMA,S21001,RR01,60COM+60MEL*60MEL- *100-2/2 Z TWILL
16000247,BAMMA,S21001,RR02,60COM+60MEL*60MEL- *100-2/2 Z TWILL
16000247,BAMMN,W11001,RR13,60MEL*60MEL- *100-2/2 Z TWILL
16000247,BAMMN,W11001,RR14,60MEL*60MEL- *100-2/2 Z TWILL
16000250,BAMM,W11001,HH01,60COM*60COM-142*78-149-PLAIN-95 $
16000261,BAMM,S41001,VV01,60COM*60COM- *104-DOBBY-392.04.001
16000265,BAMM,W11001,HH01,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH02,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH03,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH04,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH05,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH06,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH07,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH08,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH09,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH10,60COM*60MEL-148*104-156-PLAIN-109 $
16000265,BAMM,W11001,HH11,60COM*60MEL-148*104-156-PLAIN-109 $
